district_id,name,kabupaten,provinsi,lat,lon
IDN.7.5.1_1,Cilincing,Jakarta Utara,Jakarta Raya,-6.1267,106.943912
IDN.7.5.2_1,Danau Sunter Dll,Jakarta Utara,Jakarta Raya,-6.150955,106.848191
IDN.7.5.3_1,Kelapa Gading,Jakarta Utara,Jakarta Raya,-6.160569,106.903534
IDN.7.5.4_1,Koja,Jakarta Utara,Jakarta Raya,-6.121032,106.904793
IDN.7.5.5_1,Pademangan,Jakarta Utara,Jakarta Raya,-6.129496,106.83692
IDN.7.5.6_1,Penjaringan,Jakarta Utara,Jakarta Raya,-6.11815,106.766697
IDN.7.5.7_1,Tanjung Priok,Jakarta Utara,Jakarta Raya,-6.132198,106.874805
IDN.9.4.1_1,Babelan,Bekasi,Jawa Barat,-6.125149,107.03426
IDN.9.4.2_1,Bojongmangu,Bekasi,Jawa Barat,-6.438184,107.179065
IDN.9.4.3_1,Cabangbungin,Bekasi,Jawa Barat,-6.07861,107.136792
IDN.9.4.4_1,Cibarusah,Bekasi,Jawa Barat,-6.435444,107.109394
IDN.9.4.5_1,Cibitung,Bekasi,Jawa Barat,-6.235044,107.100737
IDN.9.4.6_1,Cikarang Barat,Bekasi,Jawa Barat,-6.296806,107.09439
IDN.9.4.7_1,Cikarang Pusat,Bekasi,Jawa Barat,-6.359647,107.18362
IDN.9.4.8_1,Cikarang Selatan,Bekasi,Jawa Barat,-6.338439,107.128492
IDN.9.4.9_1,Cikarang Timur,Bekasi,Jawa Barat,-6.288409,107.209488
IDN.9.4.10_1,Cikarang Utara,Bekasi,Jawa Barat,-6.275376,107.155703
IDN.9.4.11_1,Karangbahagia,Bekasi,Jawa Barat,-6.218005,107.197231
IDN.9.4.12_1,Kedungwaringin,Bekasi,Jawa Barat,-6.250954,107.248355
IDN.9.4.13_1,Muara Gembong,Bekasi,Jawa Barat,-5.995716,107.049982
IDN.9.4.14_1,Pebayuran,Bekasi,Jawa Barat,-6.159602,107.248346
IDN.9.4.15_1,Serang Baru,Bekasi,Jawa Barat,-6.39641,107.114627
IDN.9.4.16_1,Setu,Bekasi,Jawa Barat,-6.363617,107.037849
IDN.9.4.17_1,Sukakarya,Bekasi,Jawa Barat,-6.145553,107.185564
IDN.9.4.18_1,Sukatani,Bekasi,Jawa Barat,-6.192395,107.155639
IDN.9.4.19_1,Sukawangi,Bekasi,Jawa Barat,-6.120412,107.092699
IDN.9.4.20_1,Tambelang,Bekasi,Jawa Barat,-6.167626,107.12775
IDN.9.4.21_1,Tambun Selatan,Bekasi,Jawa Barat,-6.256714,107.05519
IDN.9.4.22_1,Tambun Utara,Bekasi,Jawa Barat,-6.192465,107.061109
IDN.9.4.23_1,Tarumajaya,Bekasi,Jawa Barat,-6.12198,106.997539
IDN.9.9.1_1,Arjawinangun,Cirebon,Jawa Barat,-6.641649,108.408356
IDN.9.9.2_1,Astanajapura,Cirebon,Jawa Barat,-6.803672,108.621769
