district_id,population
IDN.7.5.1_1,476312
IDN.7.5.2_1,0
IDN.7.5.3_1,264741
IDN.7.5.4_1,185573
IDN.7.5.5_1,151361
IDN.7.5.6_1,344514
IDN.7.5.7_1,299802
IDN.9.4.1_1,338784
IDN.9.4.2_1,78998
IDN.9.4.3_1,61894
IDN.9.4.4_1,92231
IDN.9.4.5_1,176907
IDN.9.4.6_1,350923
IDN.9.4.7_1,285377
IDN.9.4.8_1,395511
IDN.9.4.9_1,190667
IDN.9.4.10_1,343842
IDN.9.4.11_1,110766
IDN.9.4.12_1,82896
IDN.9.4.13_1,104566
IDN.9.4.14_1,133912
IDN.9.4.15_1,189065
IDN.9.4.16_1,171717
IDN.9.4.17_1,55635
IDN.9.4.18_1,74539
IDN.9.4.19_1,104427
IDN.9.4.20_1,45936
IDN.9.4.21_1,369045
IDN.9.4.22_1,165478
IDN.9.4.23_1,281114
IDN.9.9.1_1,56542
IDN.9.9.2_1,83302
IDN.9.9.3_1,54723
IDN.9.9.4_1,37622
IDN.9.9.5_1,39776
IDN.9.9.6_1,44508
IDN.9.9.7_1,40128
IDN.9.9.8_1,47546
IDN.9.9.9_1,85026
IDN.9.9.10_1,59034
IDN.9.9.11_1,76043
IDN.9.9.12_1,40550
IDN.9.9.13_1,69072
IDN.9.9.14_1,29208
IDN.9.9.15_1,34641
IDN.9.9.16_1,59471
IDN.9.9.17_1,26047
IDN.9.9.18_1,18949
IDN.9.9.19_1,66747
IDN.9.9.20_1,42231
IDN.9.9.21_1,39252
IDN.9.9.22_1,57646
IDN.9.9.23_1,88893
IDN.9.9.24_1,48730
IDN.9.9.25_1,30538
IDN.9.9.26_1,48354
IDN.9.9.27_1,65328
IDN.9.9.28_1,26085
IDN.9.9.29_1,31229
IDN.9.9.30_1,34047
IDN.9.9.31_1,70158
IDN.9.9.32_1,28823
IDN.9.9.33_1,78918
IDN.9.9.34_1,30349
IDN.9.9.35_1,76440
IDN.9.9.36_1,26061
IDN.9.9.37_1,85911
IDN.9.9.38_1,42517
IDN.9.9.39_1,31897
IDN.9.9.40_1,45114
IDN.9.12.1_1,76567
IDN.9.12.2_1,22984
IDN.9.12.3_1,57906
IDN.9.12.4_1,28747
IDN.9.12.5_1,31141
IDN.9.12.6_1,18434
IDN.9.12.7_1,46801
IDN.9.12.8_1,56425
IDN.9.12.9_1,111190
IDN.9.12.10_1,74404
IDN.9.12.11_1,97909
IDN.9.12.12_1,58385
IDN.9.12.13_1,50940
IDN.9.12.14_1,90631
IDN.9.12.15_1,45998
IDN.9.12.16_1,32499
IDN.9.12.17_1,36714
IDN.9.12.18_1,44327
IDN.9.12.19_1,77970
IDN.9.12.20_1,41797
IDN.9.12.21_1,47342
IDN.9.12.22_1,100582
IDN.9.12.23_1,23271
IDN.9.12.24_1,48737
IDN.9.12.25_1,48714
IDN.9.12.26_1,37245
IDN.9.12.27_1,44241
IDN.9.12.28_1,54160
IDN.9.12.29_1,77301
IDN.9.12.30_1,46020
IDN.9.12.31_1,45438
IDN.9.13.1_1,49238
IDN.9.13.2_1,45506
IDN.9.13.3_1,178751
IDN.9.13.4_1,40893
IDN.9.13.5_1,157791
IDN.9.13.6_1,46443
IDN.9.13.7_1,66748
IDN.9.13.8_1,37315
IDN.9.13.9_1,85542
IDN.9.13.10_1,33387
IDN.9.13.11_1,152382
IDN.9.13.12_1,137136
IDN.9.13.13_1,229741
IDN.9.13.14_1,107903
IDN.9.13.15_1,37310
IDN.9.13.16_1,54155
IDN.9.13.17_1,60858
IDN.9.13.18_1,35281
IDN.9.13.19_1,65755
IDN.9.13.20_1,42031
IDN.9.13.21_1,78999
IDN.9.13.22_1,50299
IDN.9.13.23_1,73980
IDN.9.13.24_1,55332
IDN.9.13.25_1,47468
IDN.9.13.26_1,164530
IDN.9.13.27_1,198132
IDN.9.13.28_1,56458
IDN.9.13.29_1,53643
IDN.9.13.30_1,62406
IDN.9.15.1_1,169827
IDN.9.15.2_1,270172
IDN.9.15.3_1,249021
IDN.9.15.4_1,275836
IDN.9.15.5_1,296083
IDN.9.15.6_1,315255
IDN.9.15.7_1,212014
IDN.9.15.8_1,198779
IDN.9.15.9_1,312463
IDN.9.15.10_1,270057
IDN.9.15.11_1,148021
IDN.9.15.12_1,274152
IDN.9.17.1_1,153637
IDN.9.17.2_1,54011
IDN.9.17.3_1,117504
IDN.9.17.4_1,76122
IDN.9.17.5_1,30188
IDN.9.23.1_1,37025
IDN.9.23.2_1,63080
IDN.9.23.3_1,71335
IDN.9.23.4_1,41575
IDN.9.23.5_1,44362
IDN.9.23.6_1,39160
IDN.9.23.7_1,55400
IDN.9.23.8_1,98855
IDN.9.23.9_1,66729
IDN.9.23.10_1,32956
IDN.9.23.11_1,42411
IDN.9.23.12_1,51122
IDN.9.23.13_1,43151
IDN.9.23.14_1,90029
IDN.9.23.15_1,24774
IDN.9.23.16_1,33467
IDN.9.23.17_1,74438
IDN.9.23.19_1,55556
IDN.9.23.18_1,39378
IDN.9.23.20_1,42956
IDN.9.23.21_1,99443
IDN.9.23.22_1,69428
IDN.9.23.23_1,42222
IDN.9.23.24_1,42254
IDN.9.23.25_1,28525
IDN.9.23.26_1,30467
IDN.9.23.27_1,97150
IDN.9.23.28_1,42094
IDN.9.23.29_1,36359
IDN.9.23.30_1,29146
IDN.10.6.1_1,100762
IDN.10.6.2_1,87298
IDN.10.6.3_1,199500
IDN.10.6.4_1,178702
IDN.10.6.5_1,94274
IDN.10.6.6_1,74323
IDN.10.6.7_1,48183
IDN.10.6.8_1,108915
IDN.10.6.9_1,125575
