date,want_pompa,want_truk,minor
2015-01-30,625,7304,625
2015-01-31,856,7304,856
2015-02-01,2112,7304,2112
2015-02-02,1932,7304,1932
2015-02-03,1730,7304,1730
2015-02-04,1711,7304,1711
2015-02-05,1710,7304,1710
2015-02-06,2016,7304,2016
2015-02-07,2260,7304,2260
2015-02-08,1999,7304,1999
2015-02-09,2143,7304,2143
2015-02-10,1821,7304,1821
2015-02-11,1655,7304,1655
2015-02-12,1833,7304,1833
2015-02-13,1975,7304,1975
2015-02-14,1612,7304,1612
2015-02-15,1380,7304,1380
2015-02-16,1161,7304,1161
2015-02-17,1417,7304,1417
2015-02-18,1882,7304,1882
2015-02-19,2224,7304,2224
2015-02-20,1414,7304,1414
2015-02-21,602,7304,602
2015-02-22,391,7304,391
2015-02-23,638,7304,638
2015-02-24,547,7304,547
2015-02-25,658,7304,658
2015-02-26,470,7304,470
2015-02-27,436,7304,436
2015-02-28,550,7304,550
2015-03-01,568,7304,568
2015-03-02,1226,7304,1226
2015-03-03,1030,7304,1030
2015-03-04,1071,7304,1071
2015-03-05,715,7304,715
2015-03-06,488,7304,488
2015-03-07,463,7304,463
2015-03-08,392,7304,392
2015-03-09,336,7304,336
2015-03-10,294,7304,294
2015-03-11,321,7304,321
2015-03-12,162,7304,162
2015-03-13,201,7304,201
2015-03-14,204,7304,204
2015-03-15,477,7304,477
2015-03-16,684,7304,684
2015-03-17,573,7304,573
2015-03-18,341,7304,341
2015-03-19,621,7304,621
2015-03-20,954,7304,954
2015-03-21,1287,7304,1287
2015-03-22,987,7304,987
2015-03-23,718,7304,718
2015-03-24,723,7304,723
2015-03-25,801,7304,801
2015-03-26,702,7304,702
2015-03-27,585,7304,585
2015-03-28,403,7304,403
2015-03-29,378,7304,378
2015-03-30,342,7304,342
2015-03-31,357,7304,357
2015-04-01,313,7304,313
2015-04-02,388,7304,388
2015-04-03,462,7304,462
2015-04-04,380,7304,380
2015-04-05,263,7304,263
2015-04-06,165,7304,165
2015-04-07,271,7304,271
2015-04-08,211,7304,211
2015-04-09,133,7304,133
2015-04-10,5,7304,5
2015-04-11,10,7304,10
2015-04-12,195,7304,195
2015-04-13,179,7304,179
2015-04-14,383,7304,383
2015-04-15,292,7304,292
2015-04-16,319,7304,319
2015-04-17,274,7304,274
2015-04-18,246,7304,246
2015-04-19,190,7304,190
2015-04-20,206,7304,206
2015-04-21,223,7304,223
2015-04-22,115,7304,115
2015-04-23,151,7304,151
2015-04-24,304,7304,304
2015-04-25,235,7304,235
2015-04-26,240,7304,240
2015-04-27,161,7304,161
