date,config,expected_uncovered,cvar_uncovered,expected_demand,cvar_demand,units,districts_served,want_pompa,want_truk
2023-01-01,B0,3281164,4547831,3281164,4547831,0,0,658,0
2023-01-01,B1,3084133,4299831,3281164,4547831,57,11,658,0
2023-01-01,B2,3084133,4299831,3281164,4547831,57,11,658,0
2023-01-01,B3,3143818,4161820,3281164,4444831,57,9,658,0
2023-01-06,B0,1742061,2177797,1742061,2177797,0,0,387,0
2023-01-06,B1,1612651,2043498,1742061,2177797,57,13,387,0
2023-01-06,B2,1612651,2043498,1742061,2177797,57,13,387,0
2023-01-06,B3,1604622,1973639,1742061,2143130,57,13,387,0
2023-01-11,B0,515010,853640,515010,853640,0,0,155,0
2023-01-11,B1,470743,763615,515010,838282,51,30,155,0
2023-01-11,B2,470743,763615,515010,838282,51,30,155,0
2023-01-11,B3,456302,639416,515010,820772,57,12,155,0
2023-01-16,B0,417035,763584,417035,763584,0,0,114,0
2023-01-16,B1,370902,683919,417035,747919,43,25,114,0
2023-01-16,B2,370902,683919,417035,747919,43,25,114,0
2023-01-16,B3,357640,579919,417035,747919,57,10,114,0
2023-01-21,B0,2982727,3873706,2982727,3873706,0,0,596,0
2023-01-21,B1,2800876,3644372,2982727,3873706,57,8,596,0
2023-01-21,B2,2800876,3644372,2982727,3873706,57,8,596,0
2023-01-21,B3,2784131,3548478,2982727,3873706,57,8,596,0
2023-01-26,B0,2490588,3154098,2490588,3154098,0,0,526,0
2023-01-26,B1,2313371,2905629,2490588,3154098,57,12,526,0
2023-01-26,B2,2313371,2905629,2490588,3154098,57,12,526,0
2023-01-26,B3,2281394,2783976,2490588,3085236,57,11,526,0
2023-01-31,B0,1776597,2560436,1776597,2560436,0,0,393,0
2023-01-31,B1,1580864,2279668,1776597,2560436,57,9,393,0
2023-01-31,B2,1580864,2279668,1776597,2560436,57,9,393,0
2023-01-31,B3,1576785,2215435,1776597,2490102,57,10,393,0
2023-02-05,B0,1408146,1767395,1408146,1767395,0,0,312,0
2023-02-05,B1,1291050,1621928,1408146,1760477,57,17,312,0
2023-02-05,B2,1291050,1621928,1408146,1760477,57,17,312,0
2023-02-05,B3,1262121,1522891,1408146,1702609,57,11,312,0
2023-02-10,B0,2683954,3576357,2683954,3576357,0,0,535,0
2023-02-10,B1,2525495,3387024,2683954,3576357,57,9,535,0
2023-02-10,B2,2525495,3387024,2683954,3576357,57,9,535,0
2023-02-10,B3,2496774,3225063,2683954,3574396,57,7,535,0
2023-02-15,B0,7754302,8882260,7754302,8882260,0,0,1480,0
2023-02-15,B1,7519372,8608886,7754302,8882260,57,6,1480,0
2023-02-15,B2,7519372,8608886,7754302,8882260,57,6,1480,0
2023-02-15,B3,7474324,8454067,7754302,8838067,57,6,1480,0
2023-02-20,B0,5985778,6843918,5985778,6843918,0,0,1112,0
2023-02-20,B1,5760929,6646859,5985778,6836480,57,5,1112,0
