date,config,expected_uncovered,cvar_uncovered,expected_demand,cvar_demand,units,districts_served,want_pompa,want_truk
2015-01-30,B0,18848933,19984557,18848933,19984557,0,0,744,6892
2015-01-30,B1,18612133,19680890,18848933,19984557,95,9,744,6892
2015-01-30,B2,18623433,19699890,18848933,19984557,95,11,744,6892
2015-01-30,B3,18595491,19560507,18848933,19953360,95,12,744,6892
2015-01-31,B0,19934082,21005016,19934082,21005016,0,0,938,6892
2015-01-31,B1,19666648,20750350,19934082,21005016,95,8,938,6892
2015-01-31,B2,19669115,20760350,19934082,21005016,95,9,938,6892
2015-01-31,B3,19669337,20559527,19934082,20876194,95,13,938,6892
2015-02-01,B0,26227033,27567862,26227033,27567862,0,0,1988,6892
2015-02-01,B1,25781993,27174934,26227033,27566268,95,8,1988,6892
2015-02-01,B2,25764126,27166934,26227033,27566268,95,8,1988,6892
2015-02-01,B3,25753586,27051195,26227033,27567862,95,10,1988,6892
2015-02-02,B0,24886225,26389502,24886225,26389502,0,0,1782,6892
2015-02-02,B1,24495027,26000836,24886225,26389502,95,7,1782,6892
2015-02-02,B2,24484370,25986754,24886225,26389502,95,8,1782,6892
2015-02-02,B3,24471137,25859745,24886225,26357289,95,11,1782,6892
2015-02-03,B0,23604551,25006239,23604551,25006239,0,0,1579,6892
2015-02-03,B1,23231609,24580768,23604551,24992117,95,7,1579,6892
2015-02-03,B2,23221008,24570102,23604551,24992117,95,8,1579,6892
2015-02-03,B3,23242392,24506510,23604551,24979578,95,10,1579,6892
2015-02-04,B0,23354657,24701017,23354657,24701017,0,0,1545,6892
2015-02-04,B1,23030587,24315117,23354657,24663117,95,8,1545,6892
2015-02-04,B2,23015553,24300117,23354657,24663117,95,8,1545,6892
2015-02-04,B3,22982474,24258904,23354657,24663117,95,11,1545,6892
2015-02-05,B0,23622833,25081918,23622833,25081918,0,0,1534,6892
2015-02-05,B1,23306524,24651097,23622833,25010764,95,7,1534,6892
2015-02-05,B2,23297875,24640764,23622833,25010764,95,7,1534,6892
2015-02-05,B3,23261315,24544634,23622833,25013301,95,7,1534,6892
2015-02-06,B0,25312646,26800114,25312646,26800114,0,0,1833,6892
2015-02-06,B1,24968587,26379447,25312646,26800114,95,8,1833,6892
2015-02-06,B2,24959503,26362507,25312646,26800114,95,9,1833,6892
2015-02-06,B3,24852213,26278114,25312646,26800114,95,12,1833,6892
2015-02-07,B0,27149137,28473700,27149137,28473700,0,0,2136,6892
2015-02-07,B1,26730237,27986367,27149137,28473700,95,9,2136,6892
2015-02-07,B2,26709002,27959700,27149137,28473700,95,9,2136,6892
2015-02-07,B3,26689535,27903700,27149137,28473700,95,10,2136,6892
2015-02-08,B0,24958250,26548399,24958250,26548399,0,0,1810,6892
2015-02-08,B1,24562567,26184696,24958250,26496029,95,9,1810,6892
2015-02-08,B2,24548987,26187460,24958250,26496029,95,9,1810,6892
2015-02-08,B3,24484890,25983732,24958250,26548399,95,13,1810,6892
2015-02-09,B0,26437098,27620029,26437098,27620029,0,0,2043,6892
2015-02-09,B1,26056132,27201696,26437098,27620029,95,8,2043,6892
2015-02-09,B2,26041132,27196696,26437098,27620029,95,8,2043,6892
2015-02-09,B3,25993299,27059988,26437098,27620029,95,12,2043,6892
2015-02-10,B0,24311879,25688751,24311879,25688751,0,0,1677,6892
2015-02-10,B1,23933246,25248141,24311879,25677141,95,9,1677,6892
2015-02-10,B2,23916004,25229279,24311879,25677141,95,9,1677,6892
2015-02-10,B3,23919663,25157807,24311879,25677141,95,11,1677,6892
2015-02-11,B0,23352535,24850232,23352535,24850232,0,0,1519,6892
2015-02-11,B1,23054568,24560448,23352535,24849781,95,8,1519,6892
2015-02-11,B2,23049535,24567781,23352535,24849781,95,8,1519,6892
2015-02-11,B3,22919741,24301754,23352535,24849781,95,14,1519,6892
2015-02-12,B0,24395990,25554024,24395990,25554024,0,0,1650,6892
2015-02-12,B1,24064726,25179254,24395990,25554024,95,8,1650,6892
2015-02-12,B2,24052426,25165254,24395990,25554024,95,8,1650,6892
2015-02-12,B3,24033825,25027538,24395990,25554024,95,12,1650,6892
2015-02-13,B0,25113241,26835635,25113241,26835635,0,0,1778,6892
2015-02-13,B1,24709829,26343204,25113241,26835635,95,10,1778,6892
2015-02-13,B2,24699498,26306204,25113241,26835635,95,10,1778,6892
2015-02-13,B3,24732342,26266428,25113241,26835635,95,10,1778,6892
2015-02-14,B0,23053725,24386687,23053725,24386687,0,0,1463,6892
2015-02-14,B1,22806758,24055687,23053725,24386687,95,8,1463,6892
2015-02-14,B2,22809758,24040687,23053725,24386687,95,9,1463,6892
2015-02-14,B3,22703156,23842192,23053725,24293567,95,13,1463,6892
2015-02-15,B0,22149593,23368095,22149593,23368095,0,0,1300,6892
2015-02-15,B1,21877293,23134761,22149593,23368095,95,9,1300,6892
2015-02-15,B2,21879859,23139428,22149593,23368095,95,11,1300,6892
2015-02-15,B3,21831387,22891428,22149593,23368095,95,14,1300,6892
2015-02-16,B0,21222245,22567042,21222245,22567042,0,0,1142,6892
2015-02-16,B1,20972312,22215376,21222245,22567042,95,8,1142,6892
2015-02-16,B2,20975879,22202376,21222245,22567042,95,8,1142,6892
2015-02-16,B3,20956646,22002852,21222245,22450988,95,12,1142,6892
2015-02-17,B0,22135981,23660696,22135981,23660696,0,0,1332,6892
2015-02-17,B1,21840332,23398029,22135981,23660696,95,6,1332,6892
2015-02-17,B2,21833732,23392029,22135981,23660696,95,7,1332,6892
2015-02-17,B3,21832315,23109587,22135981,23656867,95,13,1332,6892
2015-02-18,B0,24675024,26641008,24675024,26641008,0,0,1703,6892
2015-02-18,B1,24296469,26235126,24675024,26641008,95,8,1703,6892
2015-02-18,B2,24281775,26201460,24675024,26641008,95,8,1703,6892
2015-02-18,B3,24298295,26071008,24675024,26641008,95,9,1703,6892
2015-02-19,B0,26857871,28275521,26857871,28275521,0,0,2050,6892
2015-02-19,B1,26490149,27903521,26857871,28275521,95,6,2050,6892
2015-02-19,B2,26463793,27868188,26857871,28275521,95,7,2050,6892
2015-02-19,B3,26408866,27746544,26857871,28275521,95,13,2050,6892
2015-02-20,B0,22501051,24057630,22501051,24057630,0,0,1344,6892
2015-02-20,B1,22157590,23749630,22501051,24057630,95,9,1344,6892
