hazard,bin_lo,bin_hi,n,mean_predicted,observed_freq
flood,0.0,0.1,195371,0.023831286632919866,0.010682240455338816
flood,0.1,0.2,14627,0.14225486078352875,0.12586312982839953
flood,0.2,0.30000000000000004,7409,0.24583222262409474,0.2205425833445809
flood,0.30000000000000004,0.4,5186,0.3477260846625963,0.3087157732356344
flood,0.4,0.5,4328,0.4488378101529454,0.40226432532347506
flood,0.5,0.6000000000000001,3033,0.5466543398515014,0.49620837454665345
flood,0.6000000000000001,0.7000000000000001,1977,0.6428090300171678,0.627718765806778
flood,0.7000000000000001,0.8,527,0.7279946736185555,0.7438330170777988
flood,0.8,0.9,0,,
flood,0.9,1.0,0,,
drought,0.0,0.1,5625,0.00383769329811815,0.032
drought,0.1,0.2,193,0.14275053413729594,0.17616580310880828
drought,0.2,0.30000000000000004,89,0.24412168629383774,0.24719101123595505
drought,0.30000000000000004,0.4,51,0.3442141022167954,0.3137254901960784
drought,0.4,0.5,36,0.4516177823146184,0.6388888888888888
drought,0.5,0.6000000000000001,42,0.5473588634104956,0.40476190476190477
drought,0.6000000000000001,0.7000000000000001,47,0.6532506308657058,0.5531914893617021
drought,0.7000000000000001,0.8,68,0.7493446968934115,0.4411764705882353
drought,0.8,0.9,165,0.8619384830648249,0.5333333333333333
drought,0.9,1.0,1136,0.9785432886384743,0.835387323943662
